=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2025-11-25_0-7-18
====================================================================================
0:51:16 | "76561198378002588" (steamid=76561198378002588) teleported to (pos=<1454.579956, 80.779892, 2362.429932>)
0:51:16 | "Skullcruncher32": (steamid=76561198378002588) teleported to (pos=1454.58,0,2362.43)
0:51:40 | "76561198378002588" (steamid=76561198378002588) teleported to (pos=<1239.339966, 83.039803, 2369.489990>)
0:51:40 | "Skullcruncher32": (steamid=76561198378002588) teleported to (pos=1239.34,0,2369.49)
0:52:3 | "76561198378002588" (steamid=76561198378002588) teleported to (pos=<1504.810059, 50.265472, 3429.899902>)
0:52:3 | "Skullcruncher32": (steamid=76561198378002588) teleported to (pos=1504.81,0,3429.9)
0:59:43 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<5356.571777, 73.139320, 2429.244629>)
0:59:43 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<5353.511230, 74.392075, 2433.427246>)
0:59:44 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<5351.245605, 75.308487, 2436.215332>)
0:59:44 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<5348.224121, 75.881462, 2439.222168>)
0:59:45 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<5345.101563, 76.140320, 2440.741943>)
0:59:48 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<5255.660645, 69.046097, 2344.521484>)
0:59:48 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<5253.103027, 70.159470, 2341.341309>)
0:59:49 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<5252.014160, 70.855705, 2338.051270>)
1:0:9 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6155.051270, 423.705414, 1754.902954>)
1:0:15 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<5485.253906, 165.575882, 2168.944336>)
1:0:22 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<5500.510254, 134.369995, 2148.768555>)
1:4:32 | "76561198378002588" (steamid=76561198378002588) teleported to (pos=<6984.580078, 9.649311, 418.153015>)
1:4:32 | "Skullcruncher32": (steamid=76561198378002588) teleported to (pos=6984.58,0,418.153)
1:4:35 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6984.592773, 10.918030, 418.409271>)
1:4:35 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6984.591309, 10.918709, 418.493439>)
1:4:35 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6984.593262, 11.814768, 418.616486>)
1:4:35 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6984.571289, 12.725004, 418.863342>)
1:4:35 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6984.555176, 13.362876, 419.133301>)
1:4:36 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6984.571289, 13.635338, 419.396393>)
1:4:36 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6984.614746, 13.961339, 419.681091>)
1:4:36 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6984.630859, 13.755663, 419.971741>)
1:4:36 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6984.612305, 12.954528, 420.133606>)
1:4:36 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6984.654785, 12.016998, 420.452759>)
1:4:37 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6984.757324, 10.895948, 420.585968>)
1:4:37 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6984.895020, 10.845436, 420.751526>)
1:4:37 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6984.901367, 11.529842, 420.823273>)
1:4:37 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6985.009766, 12.489998, 421.099396>)
1:4:37 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6985.107422, 12.931609, 421.362366>)
1:4:38 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6985.260254, 12.983707, 421.663330>)
1:4:38 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6985.398438, 12.848499, 421.966461>)
1:4:38 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6985.450684, 12.229502, 422.262848>)
1:4:38 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6985.520996, 11.196358, 422.495148>)
1:4:38 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6985.666992, 10.636147, 422.633789>)
1:4:39 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6985.797852, 11.633003, 422.819214>)
